id,name,skills,rating
1,Piper Dingledine,"['Sales tactic', 'Storytelling', 'Relation building']",6.4
2,Dennis Cardenas,"['Strategic Thinking', 'Communication', 'Decision Making']",6.9
3,William Mooney,"['Perseverance', 'Self-Motivation', 'Independence']",4.7
4,Ashley Rifkin,"['Sales tactic', 'Storytelling', 'Relation building']",6.7
5,Lisa Yruegas,"['Strategic Thinking', 'Communication', 'Decision Making']",8.0
6,Ellen Smith,"['Problem solving', 'Automation', 'Daily technologies']",4.3
7,Dotty Deason,"['People Management', 'Budgeting', 'Hiring']",5.2
8,Nickolas McCarney,"['Strategic Thinking', 'Communication', 'Decision Making']",9.7
9,Dennis Gist,"['Problem solving', 'Automation', 'Daily technologies']",8.4
10,Juanita Delabarre,"['Problem solving', 'Automation', 'Daily technologies']",4.9
11,Nancy Villanueva,"['Perseverance', 'Self-Motivation', 'Independence']",4.7
12,Samuel Iaccarino,"['Perseverance', 'Self-Motivation', 'Independence']",5.1
13,Julie Lams,"['Strategic Thinking', 'Communication', 'Decision Making']",6.3
14,Bernice Schuck,"['Strategic Thinking', 'Communication', 'Decision Making']",7.7
15,Tanner Harrington,"['People Management', 'Budgeting', 'Hiring']",5.2
16,Norman Ruiz,"['Perseverance', 'Self-Motivation', 'Independence']",9.7
17,Phyllis Harris,"['Strategic Thinking', 'Communication', 'Decision Making']",5.3
18,Kyle Nava,"['Perseverance', 'Self-Motivation', 'Independence']",4.4
19,Jimmie Shah,"['Problem solving', 'Automation', 'Daily technologies']",5.2
20,Jeffrey Gutierrez,"['Problem solving', 'Automation', 'Daily technologies']",6.7
21,Kyle Espinoza,"['Perseverance', 'Self-Motivation', 'Independence']",8.4
22,Richard Rivera,"['Strategic Thinking', 'Communication', 'Decision Making']",5.0
23,Dorothy McWilliams,"['Perseverance', 'Self-Motivation', 'Independence']",8.7
24,Arthur Klopp,"['People Management', 'Budgeting', 'Hiring']",6.1
25,Eugene Tucker,"['Perseverance', 'Self-Motivation', 'Independence']",5.4
26,Terri Kestler,"['Problem solving', 'Automation', 'Daily technologies']",4.7
27,Robert Flynn,"['People Management', 'Budgeting', 'Hiring']",8.0
28,Karen Puckett,"['Problem solving', 'Automation', 'Daily technologies']",4.7
29,Nathanial Desantis,"['People Management', 'Recruitment', 'Hiring']",10.0
30,Jennifer Taylor,"['People Management', 'Recruitment', 'Communication']",5.4
31,Charles Chavarria,"['People Management', 'Recruitment', 'Hiring']",4.2
